pulsep,pulsen,thrust_N,torque_Nm
1260,1240,1.1857,-0.002171
1260,1260,1.2171,-0.004096
1260,1280,1.3371,-0.007861
1260,1300,1.4771,-0.010504
1260,1320,1.4938,-0.013516
1260,1340,1.6268,-0.016652
1260,1360,1.7808,-0.018332
1260,1380,1.8828,-0.022881
1260,1400,1.9616,-0.024641
1260,1420,2.1481,-0.029686
1260,1440,2.1041,-0.031935
1260,1460,2.2751,-0.035617
1260,1480,2.866,-0.029651
1260,1500,2.8623,-0.031334
1260,1520,2.8069,-0.037029
1260,1540,2.9228,-0.038516
1260,1560,3.8073,-0.044797
1260,1580,3.5639,-0.04907
1260,1600,3.5708,-0.052907
1260,1620,3.5074,-0.061468
1260,1640,3.6456,-0.065578
1260,1660,3.6848,-0.067515
1260,1680,3.906,-0.072835
1260,1700,4.293,-0.081314
1260,1720,5.363,-0.088803
1260,1740,5.5353,-0.091426
1260,1760,6.3407,-0.100607
1260,1780,5.3313,-0.100674
1260,1800,5.597,-0.109349
1280,1060,0.9148,0.017554
1280,1080,0.8996,0.016637
1280,1100,0.8513,0.015698
1280,1120,0.8838,0.014014
1280,1140,0.8524,0.012725
1280,1160,0.9935,0.009766
1280,1180,0.9805,0.008158
1280,1200,1.0805,0.005654
1280,1220,1.1912,0.003358
1280,1240,1.2542,0.001835
1280,1260,1.3489,-0.002296
1280,1280,1.4521,-0.005831
1280,1300,1.5715,-0.008464
1280,1320,1.6173,-0.011139
1280,1340,1.7374,-0.013981
1280,1360,1.8685,-0.017409
1280,1380,1.9621,-0.020924
1280,1400,2.0452,-0.023701
1280,1420,2.1918,-0.027492
1280,1440,2.2483,-0.030342
1280,1460,2.3646,-0.034812
1280,1480,2.9799,-0.026331
1280,1500,2.9251,-0.02866
1280,1520,2.8768,-0.033622
1280,1540,2.9945,-0.03547
1280,1560,3.8247,-0.043065
1280,1580,3.5494,-0.045171
1280,1600,3.7154,-0.049365
1280,1620,3.6035,-0.056996
1280,1640,3.7453,-0.062972
1280,1660,3.8617,-0.06366
1280,1680,4.0612,-0.069671
1280,1700,4.3952,-0.077166
1280,1720,5.4546,-0.085531
1280,1740,5.4717,-0.088361
1280,1760,6.4139,-0.097324
1280,1780,5.4863,-0.095966
1280,1800,5.6185,-0.104803
1300,1060,1.0287,0.020637
1300,1080,1.0072,0.018955
1300,1100,0.9927,0.018433
1300,1120,1.0056,0.017145
1300,1140,1.0257,0.015286
1300,1160,1.0971,0.0118
1300,1180,1.0748,0.01011
1300,1200,1.2144,0.008301
1300,1220,1.3298,0.005833
1300,1240,1.373,0.004065
1300,1260,1.4588,0.000235
1300,1280,1.5387,-0.00248
1300,1300,1.6713,-0.006366
1300,1320,1.7213,-0.009767
1300,1340,1.8533,-0.012141
1300,1360,1.9819,-0.014749
1300,1380,2.0683,-0.018422
1300,1400,2.182,-0.021999
1300,1420,2.2776,-0.025283
1300,1440,2.3506,-0.028945
1300,1460,2.457,-0.031617
1300,1480,3.1079,-0.021716
1300,1500,3.0497,-0.024819
1300,1520,2.97,-0.028986
1300,1540,3.108,-0.031561
1300,1560,4.0128,-0.037791
1300,1580,3.7122,-0.042635
1300,1600,3.6447,-0.047401
1300,1620,3.8161,-0.054358
1300,1640,3.8698,-0.059554
1300,1660,3.9557,-0.061345
1300,1680,4.1949,-0.066333
1300,1700,4.5005,-0.072892
1300,1720,5.5601,-0.082329
1300,1740,5.4771,-0.083681
1300,1760,6.4791,-0.091893
1300,1780,5.6068,-0.093502
1300,1800,5.8138,-0.104043
1320,1060,1.2007,0.023214
1320,1080,1.183,0.021841
1320,1100,1.0967,0.021004
1320,1120,1.1058,0.019464
1320,1140,1.087,0.017133
1320,1160,1.1459,0.01507
1320,1180,1.2014,0.012058
1320,1200,1.3746,0.011241
1320,1220,1.4291,0.007869
1320,1240,1.4737,0.006141
1320,1260,1.5516,0.003425
1320,1280,1.6544,-0.000902
1320,1300,1.7609,-0.004131
1320,1320,1.8463,-0.006255
1320,1340,1.9414,-0.009266
1320,1360,2.1187,-0.013223
1320,1380,2.1571,-0.016214
1320,1400,2.2932,-0.01984
1320,1420,2.4289,-0.022795
1320,1440,2.4479,-0.026817
1320,1460,2.5537,-0.029575
1320,1480,3.2543,-0.018393
1320,1500,3.268,-0.020328
1320,1520,3.0956,-0.025246
1320,1540,3.2334,-0.029072
1320,1560,4.1068,-0.033336
1320,1580,3.8734,-0.03828
1320,1600,4.0513,-0.043048
1320,1620,3.9318,-0.049999
1320,1640,4.0029,-0.055036
1320,1660,4.4437,-0.058491
1320,1680,4.3315,-0.062656
1320,1700,4.649,-0.070172
1320,1720,5.5102,-0.078937
1320,1740,5.7734,-0.084924
1320,1760,6.6022,-0.088565
1320,1780,5.8526,-0.091098
1320,1800,5.8587,-0.10045
1340,1060,1.3167,0.026305
1340,1080,1.2889,0.025075
1340,1100,1.251,0.023891
1340,1120,1.2445,0.022025
1340,1140,1.2289,0.020925
1340,1160,1.2408,0.017638
1340,1180,1.4068,0.015023
1340,1200,1.4444,0.013592
1340,1220,1.5453,0.011415
1340,1240,1.5827,0.008196
1340,1260,1.6818,0.005771
1340,1280,1.7874,0.00278
1340,1300,1.8854,-0.001315
1340,1320,1.9602,-0.004529
1340,1340,2.0646,-0.007195
1340,1360,2.1997,-0.01124
1340,1380,2.2997,-0.012694
1340,1400,2.3929,-0.017265
1340,1420,2.5319,-0.021337
1340,1440,2.5589,-0.023768
1340,1460,2.6543,-0.026943
1340,1480,3.3831,-0.014138
1340,1500,3.396,-0.017015
1340,1520,3.1887,-0.021862
1340,1540,3.3763,-0.025911
1340,1560,4.2125,-0.029247
1340,1580,3.9378,-0.035194
1340,1600,4.1938,-0.037892
1340,1620,4.1283,-0.045209
1340,1640,4.2352,-0.050756
1340,1660,4.4084,-0.050583
1340,1680,4.5568,-0.058524
